rank,name,star_score,movies,average_billing
291,Al Pacino,69,1,3.0
292,Jeremy Irons,69,1,4.0
293,Dongyu Zhou,68,1,2.0
294,Jamie Dornan,68,2,2.5
295,Wu Yanshu,68,1,4.0
296,Jude Hill,68,2,5.0
297,Xu Fan,68,1,6.0
298,Ethan Hawke,67,1,1.0
299,Sydney Sweeney,66,1,1.0
300,Deng Jiajia,66,1,2.0
301,Yu Entai,66,1,3.0
302,Yang Haoyu,66,1,4.0
303,Chen Minghao,66,1,5.0
304,Zhang Benyu,66,1,6.0
305,Ke Da,66,1,7.0
306,Qin Xiaoxian,66,1,8.0
307,Ram Charan,65,1,1.0
308,Joaquin Phoenix,65,1,1.0
309,Zijian Dong,65,1,2.0
310,N T Rama Rao Jr,65,1,2.0
311,Guo Jingfei,65,1,3.0
312,Mi Yang,65,1,4.0
313,Chloë Grace Moretz,64,1,1.0
314,Michael Peña,64,1,2.0
315,Colin Jost,64,1,3.0
316,Rob Delaney,64,1,4.0
317,Ken Jeong,64,1,5.0
318,Daisy Edgar-Jones,63,1,1.0
319,Chris Pine,63,1,1.0
320,Rege-Jean Page,63,1,3.0
321,Justice Smith,63,1,4.0
322,Sophia Lillis,63,1,5.0
323,Chloe Coleman,63,1,6.0
324,Daisy Head,63,1,7.0
325,Hugh Grant,63,1,8.0
326,Neve Campbell,62,1,1.0
327,Denzel Washington,62,2,1.0
328,Judy Greer,62,1,2.0
329,Tom Hanks,62,2,2.0
330,David Arquette,62,1,3.0
331,Andi Matichak,62,1,3.0
332,Nick Castle,62,1,4.0
333,James Jude Courtney,62,1,5.0
334,Tom Bateman,61,1,1.0
335,Annette Bening,61,1,2.0
336,Gemma Arterton,61,1,2.0
337,Teyonah Parris,61,1,2.0
338,Rhys Ifans,61,1,3.0
339,Russell Brand,61,1,4.0
340,Matthew Goode,61,1,4.0
341,Iman Vellani,61,1,4.0
342,Ali Fazal,61,1,5.0
343,Tom Hollander,61,1,5.0
344,Dawn French,61,1,6.0
345,Gal Gadot,61,1,7.0
346,Daniel Brühl,61,1,7.0
347,Armie Hammer,61,1,8.0
348,Djimon Hounsou,61,1,8.0
349,Rose Leslie,61,1,9.0
350,Charles Dance,61,1,9.0
351,Sophie Okonedo,61,1,11.0
352,Jennifer Saunders,61,1,12.0
353,Ann Turkel,61,1,14.0
354,Samara Weaving,60,2,6.5
355,Robert De Niro,60,2,8.5
356,Xu Guanghan,59,1,1.0
357,Zhang Ruonan,59,1,2.0
358,Winslow Fegley,58,1,1.0
359,Wan Qian,58,1,2.0
360,Ty Simpkins,58,1,2.0
361,Cheng Yi,58,1,3.0
362,Xiaolei Huang,58,1,4.0
363,Guy-hwa Choi,57,1,2.0
364,Son Sukku,57,1,3.0
365,Tony Revolori,57,2,13.5
366,Lau Ching-wan,56,1,1.0
367,Bai Ke,56,1,2.0
368,Darby Camp,56,1,2.0
369,Raymond Lam,56,1,2.0
370,Sabrina Zhuang,56,1,3.0
371,Qiao Shan,55,1,1.0
372,Chengcheng Fan,55,1,2.0
373,Nikki Amuka-Bird,55,2,5.5
374,Dermot Mulroney,54,1,2.0
375,Carina Lau,54,1,2.0
376,Jenna Ortega,54,1,4.0
377,Jasmin Savoy Brown,54,1,5.0
378,Mason Gooding,54,1,6.0
379,Hayden Panettiere,54,1,7.0
380,Jack Champion,54,1,10.0
381,Liana Liberato,54,1,11.0
382,Devyn Nekoda,54,1,12.0
383,Josh Segarra,54,1,14.0
384,Anne Hathaway,53,1,1.0
385,Leonardo DiCaprio,53,1,1.0
386,Jessica Hester,53,1,2.0
387,Jeremy Strong,53,1,2.0
388,Michael Banks Repeta,53,1,3.0
389,Jaylin Webb,53,1,4.0
390,Anthony Hopkins,53,1,5.0
391,Alyssa Sutherland,52,1,1.0
392,Lily Sullivan,52,1,2.0
393,Zhang Songwen,52,2,2.5
394,Han Geng,51,1,1.0
395,Ryan Zheng Kai,51,1,2.0
396,Hugh Bonneville,50,1,1.0
397,Gael Garcia Bernal,50,1,1.0
398,Tony Leung,50,1,1.0
399,Laura Carmichael,50,1,2.0
400,Vicky Krieps,50,1,2.0
401,Jim Carter,50,1,3.0
402,Rufus Sewell,50,1,3.0
403,Alex Wolff,50,1,4.0
404,Brendan Coyle,50,1,4.0
405,Thomasin McKenzie,50,1,5.0
406,Michelle Dockery,50,1,5.0
407,Kevin Doyle,50,1,6.0
408,Abbey Lee,50,1,6.0
409,Joanne Froggatt,50,1,7.0
410,Harry Hadden-Paton,50,1,8.0
411,Ken Leung,50,1,8.0
412,Eliza Scanlen,50,1,9.0
413,Rob James-Collier,50,1,9.0
414,Aaron Pierre,50,1,10.0
415,Allen Leech,50,1,10.0
416,Phyllis Logan,50,1,11.0
417,Embeth Davidtz,50,1,11.0
418,Elizabeth McGovern,50,1,12.0
419,Emun Elliott,50,1,12.0
420,Sophie McShera,50,1,13.0
421,Tuppence Middleton,50,1,14.0
422,Lesley Nicol,50,1,15.0
423,Douglas Reith,50,1,16.0
424,David Robb,50,1,17.0
