rank,name,star_score,movies,average_billing
294,Damian Alcazar,45,1,3.0
295,Raoul Trujillo,45,1,4.0
296,Susan Sarandon,45,1,5.0
297,George Lopez,45,1,6.0
298,Bruna Marquezine,45,1,34.0
299,Henry Cavill,44,1,1.0
300,Bryce Dallas Howard,44,1,2.0
301,Sam Rockwell,44,1,3.0
302,Tobin Bell,43,1,1.0
303,Shawnee Smith,43,1,2.0
304,Mike Faist,43,1,2.0
305,Josh O’Connor,43,1,3.0
306,Louis Koo,42,1,1.0
307,Minami Takayama,42,1,1.0
308,Sammo Hung Kam-Bo,42,1,2.0
309,Tang Guoqiang,41,1,1.0
310,Gingle Wang,41,1,2.0
311,Lee-Zen Lee,41,1,3.0
312,Choi Min-sik,40,1,1.0
313,David Harbour,40,1,1.0
314,Kim Go-eun,40,1,2.0
315,Orlando Bloom,40,1,2.0
316,Archie Madekwe,40,1,3.0
317,Yoo Hai-Jin,40,1,3.0
318,Lee Do-Hyun,40,1,4.0
319,Josh Hartnett,39,1,1.0
320,Lakeith Lee Stanfield,38,1,1.0
321,Tiffany Haddish,38,1,2.0
322,Owen Wilson,38,1,3.0
323,Danny DeVito,38,1,4.0
324,Rosario Dawson,38,1,5.0
325,Margaret Qualley,37,1,1.0
326,Kenneth Branagh,37,1,1.0
327,Demi Moore,37,1,2.0
328,Jamie Dornan,37,1,2.0
329,Dennis Quaid,37,1,3.0
330,Jude Hill,37,1,4.0
331,Ali Khan,37,1,5.0
332,Emma Laird,37,1,6.0
333,Kelly Reilly,37,1,7.0
334,Riccardo Scamarcio,37,1,8.0
335,Michelle Yeoh,37,1,9.0
336,Kyle Allen,37,1,10.0
337,James McAvoy,36,1,1.0
338,Emma Stone,36,1,1.0
339,David Howard Thornton,35,1,1.0
340,Ryunosuke Kamiki,34,1,1.0
341,Johnny Huang,34,1,1.0
342,Chuxi Zhong,34,1,3.0
343,Peng Yuchang,33,1,1.0
344,John David Washington,33,1,1.0
345,Gemma Chan,33,1,2.0
346,Zhou Ye,33,1,2.0
347,Ken Watanabe,33,1,3.0
348,Sturgill Simpson,33,1,4.0
349,Allison Janney,33,1,5.0
350,Madeleine Yuna Voyles,33,1,6.0
351,Nick Cheung,32,1,1.0
352,Xueqin Li (李雪琴),32,1,2.0
353,Yin Zheng,32,1,3.0
354,Wang Xun,32,1,4.0
355,Shengdi Wang (王圣迪),32,1,5.0
356,Yang Xiao,31,1,1.0
357,Zhang Yi,31,1,1.0
358,Zhao Liying,31,1,2.0
359,Liu Ye,31,1,3.0
360,Nicole Kidman,30,1,1.0
361,Harris Dickinson,30,1,2.0
362,Jung Woo-sung,30,1,2.0
363,Zhang Xiaofei,28,2,1.5
364,Zhang Hanyu,27,1,1.0
365,Xuan Huang,27,1,2.0
366,Jason Koo,27,1,5.0
367,Zhang Youhao,26,2,3.0
368,Matt Damon,25,1,1.0
369,Andrew Garfield,25,1,1.0
370,Ben Affleck,25,1,2.0
371,Jason Bateman,25,1,3.0
372,Marlon Wayans,25,1,4.0
373,Chris Messina,25,1,5.0
374,Chris Tucker,25,1,6.0
375,Wyatt Russell,24,1,1.0
376,Keri Russell,24,1,1.0
377,Channing Tatum,24,2,1.5
