name,actors
To the Wonder,"['Ben Affleck', 'Olga Kurylenko', 'Rachel McAdams', 'Javier Bardem']"
Fast Five,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster', 'Tyrese Gibson', 'Chris ""Ludacris"" Bridges', 'Matt Schulze', 'Sung Kang', 'Dwayne Johnson']"
Soul Surfer,"['AnnaSophia Robb', 'Helen Hunt', 'Dennis Quaid', 'Lorraine Nicholson', 'Carrie Underwood']"
This Means War,"['Reese Witherspoon', 'Chris Pine', 'Tom Hardy', 'Til Schweiger']"
The Big Short,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']"
Z for Zachariah,"['Chiwetel Ejiofor', 'Margot Robbie', 'Chris Pine']"
One for the Money,"['Katherine Heigl', ""Jason O'Mara"", 'Daniel Sunjata', 'John Leguizamo', 'Sherri Shepherd', 'Debbie Reynolds']"
The Princess of Montpensier,[]
Evil Twin,[]
Albert Nobbs,"['Glenn Close', 'Mia Wasikowska', 'Aaron Johnson', 'Janet McTeer']"
Badmaash Company,[]
Echoes of the Rainbow,[]
Only God Forgives,"['Ryan Gosling', 'Kristin Scott Thomas', 'Vithaya Pansringarm']"
Prom,[]
American Reunion,"['Jason Biggs', 'Alyson Hannigan', 'Chris Klein', 'Thomas Ian Nicholas', 'Tara Reid', 'Seann William Scott', 'Mena Suvari', 'Eddie Kaye Thomas', 'Jennifer Coolidge', 'Eugene Levy']"
Frank,"['Domhnall Gleeson', 'Maggie Gyllenhaal', 'Scoot McNairy', 'Michael Fassbender', 'François Civil', 'Carla Azar']"
Midnight in Paris,"['Kathy Bates', 'Adrien Brody', 'Carla Bruni', 'Marion Cotillard', 'Rachel McAdams', 'Michael Sheen', 'Owen Wilson']"
Lafangey Parindey,[]
A Good Day to Die Hard,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Yulia Snigir', 'Rasha Bukvić', 'Cole Hauser', 'Amaury Nolasco', 'Sergei Kolesnikov']"
Win Win,"['Paul Giamatti', 'Amy Ryan', 'Bobby Cannavale', 'Jeffrey Tambor']"
Zoolander 2,"['Ben Stiller', 'Owen Wilson', 'Will Ferrell', 'Penélope Cruz', 'Kristen Wiig', 'Fred Armisen']"
Vinnaithaandi Varuvaaya,[]
Better Living Through Chemistry,"['Sam Rockwell', 'Olivia Wilde', 'Michelle Monaghan', 'Ben Schwartz', 'Ken Howard', 'Ray Liotta', 'Jane Fonda']"
Abraham Lincoln: Vampire Hunter,"['Benjamin Walker', 'Dominic Cooper', 'Anthony Mackie', 'Mary Elizabeth Winstead', 'Rufus Sewell', 'Marton Csokas']"
The Butterfly Room,[]
The Music Never Stopped,[]
Headhunters,"['Aksel Hennie', 'Synnøve Macody Lund', 'Nikolaj Coster-Waldau', 'Eivind Sander[no]', 'Julie Ølgaard']"
Margin Call,"['Kevin Spacey', 'Paul Bettany', 'Jeremy Irons', 'Zachary Quinto', 'Penn Badgley', 'Simon Baker', 'Mary McDonnell', 'Demi Moore', 'Stanley Tucci']"
Alvin and the Chipmunks: Chipwrecked,"['Jason Lee', 'David Cross', 'Jenny Slate', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Amy Poehler', 'Anna Faris', 'Christina Applegate']"
J. Edgar,"['Leonardo DiCaprio', 'Naomi Watts', 'Armie Hammer', 'Josh Lucas', 'Judi Dench']"
Jupiter Ascending,"['Channing Tatum', 'Mila Kunis', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']"
Dum Maaro Dum,[]
The Last Witch Hunter,"['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']"
Nice Guy Johnny,"['Kerry Bishé', 'Matt Bush', 'Edward Burns', 'Max Baker']"
Bleed for This,"['Miles Teller', 'Aaron Eckhart', 'Katey Sagal', 'Ciarán Hinds', 'Ted Levine']"
Free Birds,"['Owen Wilson', 'Woody Harrelson', 'Amy Poehler']"
Think Like a Man,"['Kevin Hart', 'Meagan Good', 'Jerry Ferrara', 'Regina Hall', 'Michael Ealy', 'Taraji P. Henson', 'Terrence J', 'Romany Malco', 'Gabrielle Union']"
Anaganaga O Dheerudu,[]
30 Minutes or Less,"['Jesse Eisenberg', 'Danny McBride', 'Aziz Ansari', 'Nick Swardson', 'Michael Peña', 'Fred Ward']"
Final Destination 5,"[""Nicholas D'Agosto"", 'Emma Bell', 'Miles Fisher', 'Arlen Escarpeta', 'David Koechner', 'Tony Todd']"
Oz the Great and Powerful,"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs', 'Joey King', 'Tony Cox']"
ParaNorman,"['Kodi Smit-McPhee', 'Tucker Albrizzi', 'Anna Kendrick', 'Casey Affleck', 'Christopher Mintz-Plasse', 'Leslie Mann', 'Jeff Garlin', 'Elaine Stritch', 'Bernard Hill', 'Jodelle Ferland', 'Tempestt Bledsoe', 'Alex Borstein', 'John Goodman']"
Young Adult,"['Charlize Theron', 'Patton Oswalt', 'Patrick Wilson', 'Elizabeth Reaser']"
Too Cool to Kill,[]
Hector and the Search for Happiness,"['Simon Pegg', 'Toni Collette', 'Rosamund Pike', 'Stellan Skarsgård', 'Jean Reno', 'Veronica Ferres', 'Barry Atsma', 'Christopher Plummer']"
Magic Mike's Last Dance,"['Channing Tatum', 'Salma Hayek Pinault']"
Independence Day: Resurgence,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe', 'Travis Tope', 'William Fichtner', 'Charlotte Gainsbourg', 'Judd Hirsch']"
Ronal the Barbarian,[]
7 Khoon Maaf,[]
Blackthorn,"['Sam Shepard', 'Eduardo Noriega', 'Stephen Rea', 'Magaly Solier', 'Cristian Mercado']"
Chasing Mavericks,"['Gerard Butler', 'Jonny Weston', 'Elisabeth Shue', 'Abigail Spencer']"
Almanya: Welcome to Germany,"['Vedat Erincin', 'Fahri Yardım', 'Lilay Huser', 'Demet Gül', 'Aylin Tezel', 'Rafael Koussouris', 'Denis Moschitto', 'Petra Schmidt-Schaller', 'Aykut Kayacık', 'Ercan Karacayli', 'Şiir Eloğlu']"
Avatar: The Way of Water,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet']"
Courageous,"['Alex Kendrick', 'Ken Bevel', 'Kevin Downes', 'Ben Davies']"
The Immature,"['Raoul Bova', 'Barbora Bobuľová', 'Ambra Angiolini', 'Luca Bizzarri', 'Paolo Kessisoglu', 'Ricky Memphis', 'Anita Caprioli', 'Luisa Ranieri']"
Edge of Tomorrow,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']"
Friends with Benefits,"['Justin Timberlake', 'Mila Kunis', 'Patricia Clarkson', 'Jenna Elfman', 'Bryan Greenberg', 'Richard Jenkins', 'Woody Harrelson']"
Bloodshot,"['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Talulah Riley', 'Lamorne Morris', 'Guy Pearce']"
Johnny English Reborn,"['Rowan Atkinson', 'Gillian Anderson', 'Dominic West', 'Rosamund Pike', 'Daniel Kaluuya', 'Richard Schiff']"
Violet & Daisy,[]
Detective Conan: The Lost Ship in the Sky,"['Minami Takayama', 'Kappei Yamaguchi', 'Rikiya Koyama', 'Wakana Yamazaki', 'Megumi Hayashibara', 'Ryo Horikawa', 'Yuko Miyamura', 'Naoko Matsui', 'Yukiko Iwai', 'Ikue Ohtani', 'Wataru Takagi', 'Kenichi Ogata', 'Nagai Ichirou', 'Chafurin', 'Atsuko Yuya', 'Isshin Chiba']"
Virsa,[]
In Time,"['Amanda Seyfried', 'Justin Timberlake', 'Alex Pettyfer', 'Cillian Murphy']"
Our Idiot Brother,"['Paul Rudd', 'Elizabeth Banks', 'Zooey Deschanel', 'Emily Mortimer', 'Steve Coogan', 'Kathryn Hahn', 'Rashida Jones']"
Ted,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Joel McHale', 'Giovanni Ribisi']"
"Love, Rosie","['Lily Collins', 'Sam Claflin', 'Christian Cooke', 'Tamsin Egerton', 'Suki Waterhouse', 'Jamie Beamish', 'Jaime Winstone']"
The Man from U.N.C.L.E.,"['Henry Cavill', 'Armie Hammer', 'Alicia Vikander', 'Elizabeth Debicki', 'Jared Harris', 'Hugh Grant']"
The Armstrong Lie,[]
Justin and the Knights of Valour,"['Freddie Highmore', 'Antonio Banderas', 'James Cosmo', 'Charles Dance', 'Tamsin Egerton', 'Rupert Everett', 'Barry Humphries', 'Alfred Molina', 'Mark Strong', 'David Walliams', 'Julie Walters', 'Olivia Williams', 'Saoirse Ronan']"
Hobo with a Shotgun,"['Rutger Hauer', 'Gregory Smith', 'Molly Dunsworth', 'Brian Downey', 'Nick Bateman']"
Jumping the Broom,"['Angela Bassett', 'Paula Patton', 'Laz Alonso', 'Loretta Devine', 'Mike Epps', 'Meagan Good', 'Tasha Smith', 'Julie Bowen', 'Romeo Miller', 'DeRay Davis', 'Valarie Pettiford']"
Rampart,"['Woody Harrelson', 'Ned Beatty', 'Ben Foster', 'Anne Heche', 'Ice Cube', 'Cynthia Nixon', 'Sigourney Weaver', 'Robert Wisdom', 'Robin Wright', 'Steve Buscemi']"
A Few Best Men,"['Xavier Samuel', 'Kris Marshall', 'Kevin Bishop', 'Rebel Wilson', 'Olivia Newton-John']"
The Legend Is Born: Ip Man,"['Dennis To', 'Sammo Hung', 'Yuen Biao', 'Louis Fan', 'Huang Yi']"
Suzume,"['Nanoka Hara', 'Hokuto Matsumura', 'Eri Fukatsu', 'Shota Sometani', 'Sairi Ito', 'Kotone Hanase[ja]', 'Kana Hanazawa', 'Matsumoto Hakuō II', 'Ryunosuke Kamiki']"
Karate-Robo Zaborgar,[]
The Art of Getting By,"['Freddie Highmore', 'Emma Roberts', 'Michael Angarano', 'Elizabeth Reaser', 'Sam Robards', 'Rita Wilson', 'Blair Underwood']"
I'm Not Jesus Mommy,[]
How to Train Your Dragon 2,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Djimon Hounsou', 'Kit Harington']"
Wrath of the Titans,"['Sam Worthington', 'Rosamund Pike', 'Bill Nighy', 'Édgar Ramírez', 'Toby Kebbell', 'Danny Huston', 'Ralph Fiennes', 'Liam Neeson']"
Million Dollar Arm,[]
The Lost Bladesman,[]
New Kids Turbo,[]
Here Comes the Boom,"['Kevin James', 'Salma Hayek', 'Henry Winkler']"
Vedam,[]
"Peace, Love & Misunderstanding",[]
Kick-Ass 2,"['Aaron Taylor-Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Jim Carrey']"
Escaping Tel Aviv,[]
Goodbye Christopher Robin,"['Domhnall Gleeson', 'Margot Robbie', 'Kelly Macdonald']"
Ong-Bak 3,"['Tony Jaa', 'Dan Chupong']"
My Week with Marilyn,"['Michelle Williams', 'Kenneth Branagh', 'Eddie Redmayne', 'Dominic Cooper', 'Julia Ormond', 'Zoë Wanamaker', 'Emma Watson', 'Judi Dench']"
The Age of Adaline,"['Blake Lively', 'Michiel Huisman', 'Kathy Baker', 'Harrison Ford', 'Ellen Burstyn']"
The Artist,"['Jean Dujardin', 'Bérénice Bejo', 'James Cromwell', 'Penelope Ann Miller', 'Malcolm McDowell', 'Missi Pyle', 'Beth Grant', 'Ed Lauter', 'Joel Murray', 'Ken Davitian', 'John Goodman']"
Singam,"['Suriya', 'Anushka Shetty', 'Prakash Raj']"
Colombiana,"['Zoe Saldaña', 'Jordi Mollà', 'Lennie James', 'Michael Vartan', 'Cliff Curtis']"
The Song of Names,[]
Freeheld,"['Julianne Moore', 'Elliot Page[a]', 'Michael Shannon', 'Steve Carell']"
Spiders,[]
The Perks of Being a Wallflower,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Mae Whitman', 'Kate Walsh', 'Dylan McDermott', 'Joan Cusack', 'Paul Rudd']"
Universal Soldier: Day of Reckoning,"['Scott Adkins', 'Jean-Claude Van Damme', 'Dolph Lundgren', 'Andrei Arlovski']"
The Roommates Party,[]
Grudge Match,"['Robert De Niro', 'Sylvester Stallone', 'Kevin Hart', 'Alan Arkin', 'Kim Basinger', 'Jon Bernthal']"
Polisse,[]
Nothing Left to Fear,[]
Paradise Murdered,[]
Fun Size,"['Victoria Justice', 'Thomas Mann', 'Jane Levy', 'Chelsea Handler']"
Life of Crime,"['Jennifer Aniston', 'Yasiin Bey', 'Isla Fisher', 'Will Forte', 'Mark Boone Junior', 'Tim Robbins', 'John Hawkes']"
Chicken with Plums,[]
Pacific Rim,"['Charlie Hunnam', 'Idris Elba', 'Rinko Kikuchi', 'Charlie Day', 'Rob Kazinsky', 'Max Martini', 'Ron Perlman']"
Hidden 3D,[]
Moonlight Sonata,[]
Raavanan,"['Vikram', 'Prithviraj Sukumaran', 'Aishwarya Rai Bachchan', 'Karthik', 'Prabhu', 'Priyamani']"
All Eyez on Me,"['Demetrius Shipp Jr.', 'Kat Graham', 'Lauren Cohan', 'Hill Harper', 'Danai Gurira']"
Vampires Suck,"['Jenn Proske', 'Matt Lanter', 'Chris Riggi', 'Ken Jeong']"
The DUFF,"['Mae Whitman', 'Robbie Amell', 'Bella Thorne', 'Bianca Santos', 'Skyler Samuels', 'Romany Malco', 'Ken Jeong', 'Allison Janney']"
Mirror Mirror,"['Julia Roberts', 'Lily Collins', 'Armie Hammer', 'Nathan Lane', 'Mare Winningham', 'Michael Lerner', 'Sean Bean']"
The Painted Bird,"['Petr Kotlár', 'Nina Šunevič', 'Stellan Skarsgård', 'Udo Kier', 'Harvey Keitel', 'Jitka Čvančarová', 'Julian Sands', 'Ala Sakalova', 'Aleksei Kravchenko', 'Barry Pepper']"
I Hate Luv Storys,[]
Ice Age: Continental Drift,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Nicki Minaj', 'Drake', 'Jennifer Lopez', 'Queen Latifah']"
Sarah's Key,[]
Now You See Me,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson', 'Mélanie Laurent', 'Isla Fisher', 'Common', 'Dave Franco', 'Michael Caine', 'Morgan Freeman']"
Mummy & Me,"['Suresh Gopi', 'Kunchacko Boban', 'Mukesh', 'Urvashi', 'Archana Jose Kavi']"
My Dear Desperado,[]
Bunny Drop,[]
The Twilight Saga:Breaking Dawn – Part 2,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Jackson Rathbone', 'Ashley Greene', 'Michael Sheen', 'Dakota Fanning']"
The Sapphires,"[""Chris O'Dowd"", 'Deborah Mailman', 'Jessica Mauboy', 'Shari Sebbens', 'Miranda Tapsell', 'Tory Kittles', 'Eka Darville']"
A Cat in Paris,"['Dominique Blanc', 'Bernadette Lafont', 'Jean Benguigui', 'Bruno Salomone', 'Oriane Zani']"
Entourage,"['Kevin Connolly', 'Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara', 'Jeremy Piven']"
Hannah Arendt,"['Barbara Sukowa', 'Janet McTeer', 'Klaus Pohl[de]', 'Nicholas Woodeson', 'Axel Milberg']"
Keyhole,[]
Take Shelter,"['Michael Shannon', 'Jessica Chastain', 'Shea Whigham', 'Katy Mixon', 'Kathy Baker']"
Zohi Sdom,[]
The Intouchables,[]
Ah Girls Go Army,"['Apple Chan', 'Glenn Yong', 'Samantha Tan', 'Shirli Ling', 'Farah Farook', 'Eswari Gunasagar', 'Kelly Kimberly Cheong', 'Belle Chua Bei Er', 'Karyn Wong Shimin', 'Charlene Huang Xiang Lin', 'Veracia Yong', 'Xixi Lim', 'Ke Le', 'Juliet Hor', 'Yong Yu', 'Chloe Goh', 'Vanessa Tiara Tay', 'Debra Loi', 'Jonathan Tee', 'Vince Chua', 'Chan Li Li']"
Ready Player One,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance']"
Trolls,"['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel', 'Russell Brand', 'James Corden', 'Gwen Stefani']"
Boris: The Film,"['Luca Amorosino', 'Valerio Aprea', 'Ninni Bruschetta', 'Paolo Calabresi', 'Antonio Catania', 'Carolina Crescentini', 'Massimo De Lorenzo', 'Carlo Luca De Ruggieri', 'Alberto Di Stasio', 'Roberta Fiorentini', 'Caterina Guzzanti', 'Francesco Pannofino', 'Andrea Sartoretti', 'Pietro Sermonti', 'Alessandro Tiberi', 'Giorgio Tirabassi']"
Klown,"['Frank Hvam', 'Casper Christensen']"
Best Actor,[]
Stoker,"['Mia Wasikowska', 'Matthew Goode', 'Nicole Kidman', 'Dermot Mulroney', 'Jacki Weaver']"
Detachment,"['Adrien Brody', 'Marcia Gay Harden', 'Christina Hendricks', 'William Petersen', 'Bryan Cranston', 'Tim Blake Nelson', 'Betty Kaye', 'Sami Gayle', 'Lucy Liu', 'Blythe Danner', 'James Caan']"
Welcome to the Punch,"['James McAvoy', 'Mark Strong', 'Andrea Riseborough']"
Horrid Henry: The Movie,"['Theo Stevenson', 'Anjelica Huston', 'Scarlett Stitt', 'Ross Marron', 'Richard E. Grant', 'Parminder Nagra', 'Kimberley Walsh', 'Mathew Horne', 'Siobhan Hayes', 'Rebecca Front', 'David Schneider', 'Dick and Dom', 'Noel Fielding']"
Lessons of a Dream,"['Daniel Brühl', 'Burghart Klaußner', 'Justus von Dohnányi', 'Kathrin von Steinburg', 'Thomas Thieme', 'Jürgen Tonkel', 'Adrian Moore', 'Theo Trebs']"
Vampire Academy,"['Zoey Deutch', 'Lucy Fry', 'Danila Kozlovsky', 'Dominic Sherwood', 'Cameron Monaghan', 'Sami Gayle', 'Sarah Hyland', 'Joely Richardson', 'Olga Kurylenko', 'Gabriel Byrne']"
InSight,"['Sean Patrick Flanery', 'Natalie Zea', 'Adam Baldwin', 'Veronica Cartwright', 'Christopher Lloyd']"
Terri,"['Jacob Wysocki', 'Creed Bratton', 'Olivia Crocicchia', 'Bridger Zadina', 'John C. Reilly']"
Despicable Me 2,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt', 'Miranda Cosgrove', 'Russell Brand', 'Steve Coogan', 'Ken Jeong']"
Attenberg,[]
Before I Fall,"['Zoey Deutch', 'Halston Sage', 'Logan Miller', 'Kian Lawley', 'Elena Kampouris', 'Diego Boneta', 'Jennifer Beals']"
Planes,"['Dane Cook', 'Stacy Keach', 'Priyanka Chopra', 'Teri Hatcher', 'Brad Garrett', 'Julia Louis-Dreyfus', 'Roger Craig Smith', 'John Cleese', 'Carlos Alazraqui', 'Anthony Edwards', 'Sinbad', 'Val Kilmer']"
We Are the Night,"['Karoline Herfurth', 'Nina Hoss', 'Jennifer Ulrich', 'Anna Fischer', 'Max Riemelt', 'Arved Birnbaum', 'Steffi Kühnert']"
The Guilt Trip,"['Barbra Streisand', 'Seth Rogen']"
Tanu Weds Manu,[]
The Night of the 12th,"['Bastien Bouillon', 'Bouli Lanners', 'Anouk Grinberg', 'Théo Cholbi[fr]', 'Johann Dionnet', 'Thibault Evrard', 'Julien Frison[fr]', 'Paul Jeanson', 'Mouna Soualem', 'Pauline Serieys[fr]']"
The Virginity Hit,[]
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","['Steve Carell', 'Jennifer Garner', 'Ed Oxenbould']"
Kokowääh,[]
Sausage Party,"['Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Bill Hader', 'Michael Cera', 'James Franco', 'Danny McBride', 'Craig Robinson', 'Paul Rudd', 'Nick Kroll', 'David Krumholtz', 'Edward Norton', 'Salma Hayek']"
Safe Haven,"['Josh Duhamel', 'Julianne Hough', 'Cobie Smulders', 'David Lyons']"
Justin Bieber: Never Say Never,[]
Mankatha,[]
Tezz,[]
Chronicle,"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan', 'Michael Kelly', 'Ashley Hinshaw']"
Every Secret Thing,"['Diane Lane', 'Elizabeth Banks', 'Dakota Fanning', 'Danielle Macdonald', 'Nate Parker', 'Common']"
Snowpiercer,"['Chris Evans', 'Song Kang-ho', 'Tilda Swinton', 'Jamie Bell', 'Octavia Spencer', 'Ewen Bremner', 'Go Ah-sung', 'John Hurt', 'Ed Harris']"
Every Thing Will Be Fine,"['James Franco', 'Charlotte Gainsbourg', 'Marie-Josée Croze', 'Robert Naylor', 'Patrick Bauchau', 'Peter Stormare', 'Rachel McAdams']"
4:44 Last Day on Earth,"['Willem Dafoe', 'Shanyn Leigh', 'Natasha Lyonne', 'Paul Hipp']"
Malarvadi Arts Club,"['Nivin Pauly', 'Aju Varghese', 'Bhagath Manuel', 'Harikrishnan', 'Geevarghese Eappen', 'Nedumudi Venu[3]']"
The Dragon Pearl,[]
The Last Days on Mars,"['Liev Schreiber', 'Elias Koteas', 'Romola Garai', 'Goran Kostić', 'Johnny Harris', 'Tom Cullen', 'Yusra Warsama', 'Olivia Williams']"
Lola Versus,"['Greta Gerwig', 'Joel Kinnaman', 'Zoe Lister-Jones', 'Bill Pullman', 'Debra Winger']"
21 & Over,[]
Office Christmas Party,"['Jason Bateman', 'Olivia Munn', 'T.J. Miller', 'Jillian Bell', 'Vanessa Bayer', 'Courtney B. Vance', 'Rob Corddry', 'Abbey Lee', 'Sam Richardson', 'Randall Park', ""Da'Vine Joy Randolph"", 'Karan Soni', 'Kate McKinnon', 'Jennifer Aniston']"
11-11-11,[]
Alex Cross,"['Tyler Perry', 'Matthew Fox', 'Edward Burns', 'Rachel Nichols', 'Cicely Tyson', 'Carmen Ejogo', 'Giancarlo Esposito', 'John C. McGinley', 'Stephanie Jacobsen', 'Werner Daehn', 'Jean Reno']"
Triple 9,"['Casey Affleck', 'Chiwetel Ejiofor', 'Anthony Mackie', 'Aaron Paul', 'Clifton Collins Jr.', 'Norman Reedus', 'Teresa Palmer', 'Michael K. Williams', 'Gal Gadot', 'Woody Harrelson', 'Kate Winslet']"
The Bay,[]
Majority,[]
Piranha 3DD,"['Danielle Panabaker', 'Matt Bush', 'David Koechner', 'Chris Zylka', 'Katrina Bowden', 'Gary Busey', 'Christopher Lloyd', 'David Hasselhoff']"
The Spectacular Now,"['Miles Teller', 'Shailene Woodley', 'Brie Larson', 'Mary Elizabeth Winstead', 'Bob Odenkirk', 'Jennifer Jason Leigh', 'Kyle Chandler']"
In the Land of Blood and Honey,[]
Midnight's Children,[]
Only Lovers Left Alive,"['Tilda Swinton', 'Tom Hiddleston', 'Mia Wasikowska', 'Anton Yelchin', 'Jeffrey Wright', 'Slimane Dazi', 'John Hurt']"
A Night in the Woods,[]
Another Happy Day,"['Ellen Barkin', 'Kate Bosworth', 'Ellen Burstyn', 'Thomas Haden Church', 'Jeffrey DeMunn', 'Siobhan Fallon Hogan', 'George Kennedy', 'Ezra Miller', 'Demi Moore', 'Diana Scarwid', 'Daniel Yelsky']"
Aagathan,[]
October Baby,[]
The Legend of Silk Boy,"['Jackie Chan', 'Ashleigh Ball', 'Garry Chalk', 'Michael Donovan', 'Maryke Hendrikse', 'Richard Ian Cox', 'Brian Drummond', 'Michael Donovan', 'Anna Cummer']"
Inadequate People,[]
Viva Riva!,"['Patsha Bay', 'Manie Malone', 'Hoji Fortuna', 'Fabrice Kwizera', 'Marlene Longage', 'Alex Herabo', 'Diplôme Amekindra']"
We're the Millers,"['Jennifer Aniston', 'Jason Sudeikis', 'Emma Roberts', 'Nick Offerman', 'Kathryn Hahn', 'Ed Helms']"
Houba! On the Trail of the Marsupilami,"['Alain Chabat', 'Jamel Debbouze', 'Fred Testot', 'Lambert Wilson', 'Géraldine Nakache', 'Liya Kebede', 'Patrick Timsit', 'Jacques Weber', 'Aïssa Maïga']"
Beyond Outrage,[]
Beyond Skyline,"['Frank Grillo', 'Bojana Novakovic', 'Jonny Weston', 'Callan Mulvey', 'Iko Uwais', 'Pamelyn Chee', 'Yayan Ruhian', 'Betty Gabriel', 'Antonio Fargas']"
Before I Go to Sleep,[]
Killer Joe,"['Matthew McConaughey', 'Emile Hirsch', 'Juno Temple', 'Gina Gershon', 'Thomas Haden Church']"
"The Way, Way Back","['Steve Carell', 'Toni Collette', 'Allison Janney', 'AnnaSophia Robb', 'Sam Rockwell', 'Maya Rudolph', 'Liam James', 'Rob Corddry', 'Amanda Peet']"
Dil Toh Baccha Hai Ji,[]
Absolutely Anything,"['Simon Pegg', 'Kate Beckinsale', 'Sanjeev Bhaskar', 'Rob Riggle', 'Eddie Izzard', 'Joanna Lumley', 'John Cleese', 'Terry Gilliam', 'Eric Idle', 'Terry Jones', 'Michael Palin', 'Robin Williams']"
Scouts Guide to the Zombie Apocalypse,"['Tye Sheridan', 'David Koechner']"
Bohemian Rhapsody,"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy', 'Joe Mazzello', 'Aidan Gillen', 'Tom Hollander', 'Mike Myers']"
Bol Bachchan,[]
Darling Companion,[]
The Zookeeper's Wife,"['Jessica Chastain', 'Johan Heldenbergh', 'Daniel Brühl', 'Michael McElhatton']"
Ender's Game,"['Asa Butterfield', 'Harrison Ford', 'Ben Kingsley', 'Viola Davis', 'Hailee Steinfeld', 'Abigail Breslin']"
The Lords of Salem,"['Sheri Moon Zombie', 'Bruce Davison', 'Jeff Daniel Phillips', 'Ken Foree', 'Patricia Quinn', 'Dee Wallace', 'María Conchita Alonso', 'Judy Geeson', 'Meg Foster']"
Barely Lethal,"['Hailee Steinfeld', 'Sophie Turner', 'Jessica Alba', 'Dove Cameron', 'Thomas Mann', 'Samuel L. Jackson']"
No One Killed Jessica,"['Vidya Balan', 'Rani Mukerji']"
Childish Games,"['Juan Diego Botto', 'Bárbara Lennie', 'Mágica Pérez']"
Supercapitalist,[]
RPG Metanoia,"['Zaijan Jaranilla', 'Aga Muhlach', 'Eugene Domingo', 'Vhong Navarro']"
Pixies,[]
Snow White and the Huntsman,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Ian McShane', 'Bob Hoskins', 'Ray Winstone', 'Nick Frost', 'Toby Jones']"
Trollhunter,"['Otto Jespersen', 'Hans Morten Hansen', 'Tomas Alf Larsen', 'Johanna Mørck', 'Knut Nærum', 'Robert Stoltenberg', 'Glenn Erland Tosterud']"
Mere Brother Ki Dulhan,[]
Secret in Their Eyes,"['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts', 'Dean Norris', 'Michael Kelly', 'Joe Cole', 'Alfred Molina']"
Jersey Boys,"['John Lloyd Young', 'Erich Bergen', 'Michael Lomenda', 'Vincent Piazza', 'Christopher Walken']"
Your Sister's Sister,"['Emily Blunt', 'Rosemarie DeWitt', 'Mark Duplass']"
I Don't Know How She Does It,[]
POM Wonderful Presents: The Greatest Movie Ever Sold,[]
When the Lights Went Out,"['Kate Ashfield', 'Tasha Connor', 'Steven Waddington', 'Craig Parkinson', 'Martin Compston', 'Jo Hartley']"
Top Gun: Maverick,"['Tom Cruise', 'Miles Teller', 'Jennifer Connelly', 'Jon Hamm', 'Glen Powell', 'Ed Harris', 'Val Kilmer']"
Crime After Crime,[]
Moonrise Kingdom,"['Bruce Willis', 'Edward Norton', 'Bill Murray', 'Frances McDormand', 'Tilda Swinton', 'Jason Schwartzman', 'Bob Balaban']"
The Collection,[]
The Pirates: The Last Royal Treasure,"['Kang Ha-neul', 'Han Hyo-joo', 'Lee Kwang-soo', 'Chae Soo-bin', 'Oh Se-hun', 'Kim Sung-oh', 'Park Ji-hwan', 'Kwon Sang-woo']"
Kingmaker,"['Sul Kyung-gu', 'Lee Sun-kyun']"
