name,actors
Don's Plum,"['Leonardo DiCaprio', 'Tobey Maguire', 'Kevin Connolly']"
Donnie Brasco,"['Al Pacino', 'Johnny Depp', 'Michael Madsen', 'Bruno Kirby', 'James Russo', 'Anne Heche']"
Double Team,"['Jean-Claude Van Damme', 'Dennis Rodman', 'Paul Freeman', 'Mickey Rourke']"
Almost Heroes,"['Chris Farley', 'Matthew Perry', 'Eugene Levy', 'Kevin Dunn']"
Eve's Bayou,"['Samuel L. Jackson', 'Lynn Whitfield', 'Debbi Morgan', 'Vondie Curtis-Hall', 'Branford Marsalis', 'Lisa Nicole Carson', 'Meagan Good', 'Jurnee Smollett', 'Diahann Carroll']"
Event Horizon,"['Laurence Fishburne', 'Sam Neill', 'Kathleen Quinlan', 'Joely Richardson']"
Face/Off,"['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Gina Gershon', 'Alessandro Nivola']"
FairyTale: A True Story,"['Florence Hoath', 'Elizabeth Earl', 'Paul McGann', 'Phoebe Nicholls', 'Harvey Keitel', ""Peter O'Toole""]"
"Fast, Cheap & Out of Control","['Dave Hoover', 'George Mendonça', 'Ray Mendez', 'Rodney Brooks']"
Fierce Creatures,"['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline', 'Michael Palin', 'Ronnie Corbett', 'Carey Lowell', 'Robert Lindsay']"
The Fifth Element,"['Bruce Willis', 'Gary Oldman', 'Ian Holm', 'Chris Tucker', 'Milla Jovovich']"
Flubber,"['Robin Williams', 'Marcia Gay Harden', 'Christopher McDonald', 'Raymond J. Barry', 'Clancy Brown', 'Ted Levine']"
For Richer or Poorer,"['Tim Allen', 'Kirstie Alley', 'Jay O. Sanders', 'Michael Lerner', 'Wayne Knight', 'Larry Miller']"
The Full Monty,"['Robert Carlyle', 'Tom Wilkinson', 'Mark Addy']"
G.I. Jane,"['Demi Moore', 'Viggo Mortensen', 'Anne Bancroft']"
Gattaca,"['Ethan Hawke', 'Uma Thurman', 'Alan Arkin', 'Jude Law', 'Loren Dean', 'Ernest Borgnine']"
George of the Jungle,"['Brendan Fraser', 'Leslie Mann', 'Thomas Haden Church', 'Holland Taylor', 'Richard Roundtree', 'John Cleese']"
